instance_id,sha256,n_vars,n_clauses,clause_var_ratio,source,seed,solver_name,timeout_ms,verdict,wall_time_ns,cpu_time_ns,peak_memory_kb,decisions,propagations,conflicts,backtracks,restarts,nodes_visited,error,verification_wall_time_ns,oracle_wall_time_ns
toy_sat_1var_0_dpll,,1,1,1.0000,toy_sat_1var,,dpll,2000,FOUND_VALID_SAT,62700,0,3,0,1,0,0,0,1,,0,0
toy_sat_1var_0_cdcl,,1,1,1.0000,toy_sat_1var,,cdcl,2000,FOUND_VALID_SAT,85600,0,4,1,1,0,0,0,1,,0,0
toy_unsat_1var_conflict_1_dpll,,1,2,2.0000,toy_unsat_1var_conflict,,dpll,2000,CORRECT_UNSAT_SMALL,25900,0,2,0,1,0,0,0,1,,35100,0
toy_unsat_1var_conflict_1_cdcl,,1,2,2.0000,toy_unsat_1var_conflict,,cdcl,2000,CORRECT_UNSAT_SMALL,107200,0,5,1,2,2,1,0,1,,25800,0
toy_sat_2var_simple_2_dpll,,2,2,1.0000,toy_sat_2var_simple,,dpll,2000,FOUND_VALID_SAT,35100,0,3,0,1,0,0,0,1,,0,0
toy_sat_2var_simple_2_cdcl,,2,2,1.0000,toy_sat_2var_simple,,cdcl,2000,FOUND_VALID_SAT,73800,0,4,1,2,0,0,0,1,,0,0
toy_unsat_2var_all_3_dpll,,2,4,2.0000,toy_unsat_2var_all,,dpll,2000,CORRECT_UNSAT_SMALL,81300,0,3,2,2,0,2,0,3,,38200,0
toy_unsat_2var_all_3_cdcl,,2,4,2.0000,toy_unsat_2var_all,,cdcl,2000,CORRECT_UNSAT_SMALL,111300,0,5,1,4,2,1,0,1,,36700,0
toy_sat_2var_equiv_4_dpll,,2,2,1.0000,toy_sat_2var_equiv,,dpll,2000,FOUND_VALID_SAT,61200,0,3,1,1,0,0,0,2,,0,0
toy_sat_2var_equiv_4_cdcl,,2,2,1.0000,toy_sat_2var_equiv,,cdcl,2000,FOUND_VALID_SAT,70500,0,4,1,2,0,0,0,1,,0,0
toy_sat_1var_tautology_5_dpll,,1,2,2.0000,toy_sat_1var_tautology,,dpll,2000,FOUND_VALID_SAT,27100,0,3,0,1,0,0,0,1,,0,0
toy_sat_1var_tautology_5_cdcl,,1,2,2.0000,toy_sat_1var_tautology,,cdcl,2000,FOUND_VALID_SAT,65500,0,4,1,1,0,0,0,1,,0,0
toy_unsat_empty_6_dpll,,1,1,1.0000,toy_unsat_empty,,dpll,2000,CORRECT_UNSAT_SMALL,17100,0,1,0,0,0,0,0,1,,22400,0
toy_unsat_empty_6_cdcl,,1,1,1.0000,toy_unsat_empty,,cdcl,2000,CORRECT_UNSAT_SMALL,43600,0,4,0,0,1,0,0,0,,20200,0
layer2_n8_seed42_0_brute_force,a83d76f1c4564e093b202c813c30b42ac4ebf35d966c82108359c4fd8819f092,8,34,4.2500,layer2_n8_seed42,,brute_force,10000,FOUND_VALID_SAT,204600,0,0,0,0,0,0,0,12,,0,204600
layer2_n8_seed42_0_dpll,a83d76f1c4564e093b202c813c30b42ac4ebf35d966c82108359c4fd8819f092,8,34,4.2500,layer2_n8_seed42,,dpll,10000,FOUND_VALID_SAT,1601500,0,12,7,20,0,4,0,8,,0,0
layer2_n8_seed42_0_cdcl,a83d76f1c4564e093b202c813c30b42ac4ebf35d966c82108359c4fd8819f092,8,34,4.2500,layer2_n8_seed42,,cdcl,10000,FOUND_VALID_SAT,544400,0,8,5,20,3,3,0,5,,0,0
layer2_n8_seed123_1_brute_force,708e8d5714cb6437e5ea4b239ddfd81dded268e3188500e7889c67c6052ef7c1,8,34,4.2500,layer2_n8_seed123,,brute_force,10000,FOUND_VALID_SAT,1293000,0,0,0,0,0,0,0,82,,0,1293000
layer2_n8_seed123_1_dpll,708e8d5714cb6437e5ea4b239ddfd81dded268e3188500e7889c67c6052ef7c1,8,34,4.2500,layer2_n8_seed123,,dpll,10000,FOUND_VALID_SAT,1538300,0,10,6,12,0,3,0,7,,0,0
layer2_n8_seed123_1_cdcl,708e8d5714cb6437e5ea4b239ddfd81dded268e3188500e7889c67c6052ef7c1,8,34,4.2500,layer2_n8_seed123,,cdcl,10000,FOUND_VALID_SAT,511400,0,8,5,13,1,1,0,5,,0,0
layer2_n10_seed42_2_brute_force,3f57d2e2c356bef7602d97ffc673c7397c709b4fa0026f34ac6346aa2c930004,10,42,4.2000,layer2_n10_seed42,,brute_force,10000,CORRECT_UNSAT_SMALL,20137100,31250000,0,0,0,0,0,0,1024,,0,20137100
layer2_n10_seed42_2_dpll,3f57d2e2c356bef7602d97ffc673c7397c709b4fa0026f34ac6346aa2c930004,10,42,4.2000,layer2_n10_seed42,,dpll,10000,CORRECT_UNSAT_SMALL,3338700,0,14,10,30,0,10,0,11,,19777200,0
layer2_n10_seed42_2_cdcl,3f57d2e2c356bef7602d97ffc673c7397c709b4fa0026f34ac6346aa2c930004,10,42,4.2000,layer2_n10_seed42,,cdcl,10000,CORRECT_UNSAT_SMALL,918600,0,10,5,39,6,5,0,5,,19588900,0
layer2_n10_seed123_3_brute_force,710d68aef3c9deeb201c815981b84e150fdbf8abad38e5d9d57e5fb8222deff6,10,42,4.2000,layer2_n10_seed123,,brute_force,10000,FOUND_VALID_SAT,6355100,15625000,0,0,0,0,0,0,327,,0,6355100
layer2_n10_seed123_3_dpll,710d68aef3c9deeb201c815981b84e150fdbf8abad38e5d9d57e5fb8222deff6,10,42,4.2000,layer2_n10_seed123,,dpll,10000,FOUND_VALID_SAT,1924600,0,14,3,7,0,0,0,4,,0,0
layer2_n10_seed123_3_cdcl,710d68aef3c9deeb201c815981b84e150fdbf8abad38e5d9d57e5fb8222deff6,10,42,4.2000,layer2_n10_seed123,,cdcl,10000,FOUND_VALID_SAT,384700,0,8,2,10,0,0,0,2,,0,0
layer2_n12_seed42_4_brute_force,660d3e96191603385516fc002763830410b4b6f3005f9a59c37623c2990c4eae,12,51,4.2500,layer2_n12_seed42,,brute_force,10000,FOUND_VALID_SAT,27164400,31250000,1,0,0,0,0,0,1166,,0,27164400
layer2_n12_seed42_4_dpll,660d3e96191603385516fc002763830410b4b6f3005f9a59c37623c2990c4eae,12,51,4.2500,layer2_n12_seed42,,dpll,10000,FOUND_VALID_SAT,2406300,0,16,2,8,0,0,0,3,,0,0
layer2_n12_seed42_4_cdcl,660d3e96191603385516fc002763830410b4b6f3005f9a59c37623c2990c4eae,12,51,4.2500,layer2_n12_seed42,,cdcl,10000,FOUND_VALID_SAT,562300,0,9,4,11,0,0,0,4,,0,0
layer2_n12_seed123_5_brute_force,5238f23cd622befd3314d6827ecdf1ee9f6c8631b5b60676c3fc0efc80f2a36b,12,51,4.2500,layer2_n12_seed123,,brute_force,10000,FOUND_VALID_SAT,40344600,31250000,1,0,0,0,0,0,1733,,0,40344600
layer2_n12_seed123_5_dpll,5238f23cd622befd3314d6827ecdf1ee9f6c8631b5b60676c3fc0efc80f2a36b,12,51,4.2500,layer2_n12_seed123,,dpll,10000,FOUND_VALID_SAT,4646800,15625000,21,9,44,0,6,0,10,,0,0
layer2_n12_seed123_5_cdcl,5238f23cd622befd3314d6827ecdf1ee9f6c8631b5b60676c3fc0efc80f2a36b,12,51,4.2500,layer2_n12_seed123,,cdcl,10000,FOUND_VALID_SAT,474700,0,9,2,12,0,0,0,2,,0,0
layer2_n14_seed42_6_brute_force,90803860dace1fddb4ddf45e0156397a6da6626c1a4b4f49f1efd90e12ff9f32,14,59,4.2143,layer2_n14_seed42,,brute_force,10000,FOUND_VALID_SAT,402042200,46875000,1484,0,0,0,0,0,13103,,0,402042200
layer2_n14_seed42_6_dpll,90803860dace1fddb4ddf45e0156397a6da6626c1a4b4f49f1efd90e12ff9f32,14,59,4.2143,layer2_n14_seed42,,dpll,10000,FOUND_VALID_SAT,3898300,15625000,26,6,14,0,1,0,7,,0,0
layer2_n14_seed42_6_cdcl,90803860dace1fddb4ddf45e0156397a6da6626c1a4b4f49f1efd90e12ff9f32,14,59,4.2143,layer2_n14_seed42,,cdcl,10000,FOUND_VALID_SAT,843200,0,11,6,25,2,2,0,6,,0,0
layer2_n14_seed123_7_brute_force,bd79eea153f6b1dc1e9377ad81bea0831b74dc19a69b42a2f656ed42b161178f,14,59,4.2143,layer2_n14_seed123,,brute_force,10000,FOUND_VALID_SAT,374590300,46875000,181,0,0,0,0,0,13146,,0,374590300
